Judul;Views;Like;Kategori
Lepas Jenazah Saefullah, Anies: Kota Ini Terus Kirim Pahala Atas Amalmu;25;0;Nasional
Kasus Corona di Indonesia Hari Ini Tambah 3.963;11;0;Nasional
Dino Patti Djalal Positif Corona, Saat Ini Masih Dirawat di RSPAD;32;2;Nasional
Anies Tutup Sementara Gedung G Balai Kota, 2 Pejabat DKI Positif Corona;10;2;Nasional
Jamkrindo Raih Penghargaan di Bidang Pemasaran;13;2;Ekonomi
Pemprov DKI Jamin ASN di Gedung G Work from Home Tak Ganggu Kinerja;11;0;Nasional
KontraS Kritik Keras Polri Soal Pam Swakarsa: Komponen Lahirnya FPI;16;2;Nasional
Wartawan Senior Sekaligus Sejarawan Betawi Alwi Shahab Meninggal Dunia;16;2;Nasional
Bantahan FPI Organisasinya Disebut Berasal dari Pam Swakarsa Era 1998;47;2;Nasional
Gunting Bendera Merah Putih dan Viral di Medsos, Emak-emak Ini Jadi Tersangka;14;2;Nasional
Belasungkawa Membanjiri YouTube Ren Korban Mutilasi di Apartemen Kalibata City;525;442;Jateng-DIY
Polisi Telusuri Video Viral Perempuan di Magelang Pamer Celana Dalam di Jalan;36;2;Jateng-DIY
Plt Kepala BKD Blora Dihukum Nyapu Gegara Joget Bareng Pegawai Tanpa Masker;13;2;Jateng-DIY
Pensiunan TNI Jadi Eksekutor Perampokan Toko Emas di Blora Ditangkap;14;2;Jateng-DIY
Data Penerima Insentif Covid Beredar di Medsos , Jumlah Transfer dan Diterimanya Beda;38;0;Jateng-DIY
2 Pria Magelang Tanam 45 Tanaman Ganja Bibitnya Dibeli Via Online;12;0;Jateng-DIY
Tak Pakai Masker Wanita Muda Ini Bersihkan Sungai, Tapi Sempat Menolak;45;0;Jateng-DIY
Hari Ini Mulai Ditutup, Gedung Blok G Balai Kota DKI Disemprot Disinfektan;10;0;Nasional
Korban Mutilasi di Kalibata City Ternyata Alumni UGM, Humas Sampaikan Belasungkawa;35;3;Jateng-DIY
Ayah Meychan Meninggal Dunia, Diduga Kena Corona;16;0;Entertaintment
Eiichiro Oda Serius Akhiri Manga One Piece dalam 5 Tahun;10;0;Entertaintment
Bazar-Jalan Santai Juga Diizinkan di Kampanye Pilkada Selain Konser Musik;10;0;Nasional
Korban Mutilasi di Kalibata City Warga Sleman, Pelayat Mulai Berdatangan;1763;221;Jateng-DIY
Baru Bertugas 3 Bulan di PN Surabaya, Hakim dan Istrinya Meninggal karena Covid-19;19;0;Nasional
Bambang Trihatmojo Gugat Menkeu Terkait Pencekalan ke Luar Negeri;23;0;Nasional
Dikabarkan Positif Corona, Robert Pattinson Kepergok Cium Suki Waterhouse;19;0;Entertaintment
Laga Uji Coba, Timnas Indonesia U-19 Vs Qatar Malam Ini;21;0;sport
Keberatan, Kemendagri Minta KPU Revisi Izin Konser Musik Saat Pilkada;15;0;Nasional
Apartemen Tempat Mutilasi Dihuni 2 Pria dan Wanita Rambut Pirang;55;0;Nasional
MUI Protes Logonya Dicantumkan Saat Sosialisasi Penceramah Bersertifikat;36;2;Nasional
Kabareskrim Ungkap Kebakaran Gedung Utama Kejagung;7;0;Nasional
Diduga Ada Unsur Pidana dalam Kebakaran Gedung Kejagung;7;0;Nasional
Ruwatan Anak Rambut Gimbal di Dieng, Permintaan Bakso ? Kalung Emas Harus Dipenuhi;15;0;Jateng-DIY
1 Tahun DPO, Napi Kasus Penipuan Rp 4,6 M Ditangkap di Banyumas;42;0;Jateng-DIY
Kabareskrim Sebut Sumber Api di Kejagung dari Open Flame Bukan Arus Pendek;8;0;Nasional
Adik Korban Mutilasi di Kalibata City Cerita Pertemuan Terakhir 23 Agustus;78;0;Jateng-DIY
Polisi Sudah Periksa 131 Saksi Terkait Kasus Kebakaran Gedung Kejagung;7;0;Nasional
Kabar Duka, 1 Dokter di Malang Meninggal Terpapar Corona;38;2;Nasional
Bukan Ormas, Polri Nyatakan Pam Swakarsa Saat Ini Beda dengan Era 1998;21;2;Nasional
Pedangdut Iyeth Bustami Pakai Ijazah Paket C Maju Pilkada, PKB Riau: Tak Masalah;19;0;Nasional
Jampidum Dukung Polisi Usut Tuntas Dugaan Pidana di Kebakaran Gedung Kejagung;17;2;Nasional
Total 14 Pejabat Pemprov DKI Terinfeksi Covid, Ini Daftar Sembuh dan Masih Dirawat;30;2;Nasional
Ini 2 Pejabat Pemprov DKI yang Positif Corona;11;0;Nasional
Gedung Dinas Teknis Jatibaru Jakarta Lockdown Ada Staf Positif Corona;20;2;Nasional
Kantor Walkot Jaksel Terapkan WFH, 7 ASN Positif Corona;8;0;Nasional
Irawan Karseno Gelar Pameran Tunggal Melukis dalam Kereta;28;2;Entertaintment
Ayah Meychan Dimakamkan Sesuai Protokol Covid-19;9;0;Entertaintment
Diduga Jatuh di Kamar Mandi, Penyanyi Alien Huang Meninggal;22;2;Entertaintment
Vicky Prasetyo Diisukan Bebas Hari Ini, Keluarga Datang Menjemput;12;2;Entertaintment
Letto Hangatkan Sejuknya Udara Pagi di Dieng;12;0;Entertaintment
77 Adegan Diperagakan dalam Rekonstruksi Penyerangan Doa Nikah di Solo;23;2;Jateng-DIY
Bank Jateng Pemalang Bantu Tandon Air Cuci Tangan ke Disperkim;16;2;Jateng-DIY
Rencana Jenazah Korban Mutilasi Kalibata City Akan Dimakamkan di Sleman;464;145;Jateng-DIY
Bawa Jenazah Saefullah ke Balai Kota DKI, Anies Dikritik Azas Tigor;16;0;Nasional
MOLA TV Tayangkan Sepakbola Kelas Dunia;13;0;Jateng-DIY
Rinaldi Harley Wismanu Korban Mutilasi Dikenal Jadi Tulang Punggung Keluarga;168;5;Jateng-DIY
Banyak Pejabat DKI Positif Corona, Anies Rutin Tes Swab;10;2;Nasional
Polisi Berhasil Temukan Wanita Pamer Celana Dalam Sambil Naik Motor di Magelang;65;0;Jateng-DIY
Pemprov DKI Beri Penjelasan Soal Jenazah Saefullah Dibawa ke Balai Kota;23;0;Nasional
Ini Penampakan Laki-laki dan Perempuan Pelaku Mutilasi di Kalibata City;1689;351;Nasional
Siswa SMA di Banyumas Cabuli Sesama Jenis, Korbannya Tambah Jadi 10 Bocah;43;0;Jateng-DIY
Helikopter PT NUH Dilaporkan Hilang Kontak Saat Penerbangan dari Nabire Papua;43;0;Nasional
Kasus Covid-19 di Indonesia Per 17 September Tambah 3.635, Total 232.628;12;0;Nasional
Vicky Prasetyo Sujud Syukur Bebas dari Penjara;24;0;Entertaintment
Polisi Ungkap Fakta Terkait Kasus Mutilasi di Kalibata City;698;122;Nasional
Calon Bupati Saling Mendahului;37;2;Jateng-DIY
Wartawan di DPRD DIY juga Di-Rapid Test;43;2;Jateng-DIY
Thiago Segera ke Liverpool, Nomor Favoritnya Siap Pakai;11;0;sport
Kejagung Ungkap ?Action Plan? Pengurusan Fatwa MA untuk Bebaskan Djoko Tjandra;21;0;Nasional
Pencarian Helikopter Hilang di Pegunungan Papua Dilanjutkan;14;0;Nasional
Terungkap Rencana Djoko Tjandra Beri USD 10 Juta Urus Fatwa, Ini Tanggapan MA;12;0;Nasional
Berkas Perkara Surat Jalan Djoko Tjandra Kembali Dilimpahkan Polri ke Kejagung;11;0;Nasional
Corona Berkepanjangan, 1,5 Juta Pegawai Hotel ? Restoran Waswas Terancam PHK;22;0;Nasional
Piutang Negara, Alasan Kemenkeu Cekal Bambang Trihatmodjo ke Luar Negeri;17;2;Ekonomi
Penahanannya Ditangguhkan, Vicky Keluar dari Penjara Tanpa Harus Wajib Lapor;9;0;Entertaintment
Pamer Pacar Baru, Miller Khan Didoakan Segera Nikah;15;0;Entertaintment
Respons Nicole Poturalski Saat Dikecam karena Pacaran dengan Brad Pitt;11;0;Entertaintment
Kondisi Fairuz A Rafiq Membaik, Usai Keguguran;13;0;Entertaintment
Istri Mendiang Didi Kempot Bicara soal Agama Dory Harsa;64;2;Entertaintment
Hari Ulang Tahun Ashraf Sinclair BCL Tulis Pesan Haru;23;2;Entertaintment
Terinfeksi Covid-19 Kepala Inspektorat Brebes Meninggal Dunia;296;10;Jateng-DIY
Sasuke Hampir Mati Melawan Isshiki Otsutsuki di Manga Boruto 50;194;2;Entertaintment
600 Pedagang Kehilangan Los Jualan Akibat Kebakaran Pasar Cepogo Boyolali;536;775;Jateng-DIY
Selama PSBB Masjid Fatahillah Balai Kota DKI Tak Gelar Salat Jumat;12;0;Nasional
Akhirnya Buka Suara, Momo Ngaku Dikeluarkan Begitu Saja dari Geisha;12;0;Entertaintment
Pasar Cepogo Boyolali Terbakar Hebat Semalam, Diduga Ini Penyebab;28;2;Jateng-DIY
Gisel Berbenah Diri, Tujuannya Sekarang Tuhan Bukan Wijin;12;0;Jateng-DIY
Bintang Netflix Jerry Harris Didakwa Kasus Pornografi Anak;21;0;Entertaintment
Dwi Sasono Tetap Dukung Anak Bermusik Meski Direhab;11;0;Entertaintment
Telepon Tak Diangkat Maia Estianty, Pinkan Mambo: Mungkin Terlalu Banyak Duit;11;0;Entertaintment
Kondisi Terkini Ari Lasso yang Dirawat di Rumah Sakit;18;0;Entertaintment
Hasil Tes Swab Ade Firman Hakim Negatif Covid-19;13;0;Entertaintment
Anjasmara Dibawa Mabuk Perankan Everyday is A Lullaby;27;2;Entertaintment
Irish Bella Melahirkan Anak Pertama, Netizen Penasaran;18;2;Entertaintment
Medina Zein Ajukan Praperadilan karena Kasus vs Irwansyah Disetop Polisi;22;0;Entertaintment
Paska Kebakaran Pemkab Boyolali Bakal Bangun Pasar Darurat Cepogo;66;96;Jateng-DIY
Duka dan Ungkapan Hati Keluarga Korban Mutilasi di Kalibata City;225;5;Jateng-DIY
Polisi Gerebek Rumah Pengepakan Rokok Ilegal di Jepara, 887.680 Batang Disita;47;5;Jateng-DIY
Penyuka Musik Metal di Banyumas Ini Sulap Paralon Jadi Lampion Menarik;14;0;Jateng-DIY
Cerita Mbak Ida yang Pamer Celana Dalam Sambil Berkendara Ternyata KTP Laki-laki;952;209;Jateng-DIY
2 Tahun Rusak Parah, 4 Ruang Kelas SDN di Kudus Tak Kunjung Diperbaiki;10;0;Jateng-DIY
Mobil Terguling Saat Dikejar Polisi Gegara Ketahuan Curi Celdam;11;0;Jateng-DIY
Bromo Jadi Kenangan Liburan Terakhir Keluarga dengan Rinaldi yang Tewas Dimutilasi;73;0;Jateng-DIY
Pencuri Celdam yang Nekat Kabur Hingga Mobilnya Terguling Terancam Bui 5 Tahun;12;0;Jateng-DIY
Dugaan Korupsi Setengah Miliar Lebih di DLH Purbalingga Mulai Diusut Jaksa;46;0;Jateng-DIY
Aksi Kejar-kejaran Polisi dengan Pencuri Celdam Bermobil di Blora;22;0;Jateng-DIY
Tanggapan Sultan HB X Soal KPU Izinkan Konser Musik Saat Kampanye;7;0;Jateng-DIY
Risih dan Tak Bawa Ganti Jadi Motif Pria Bermobil di Blora Nekat Curi Celdam;10;0;Jateng-DIY
Kasus Corona di Indonesia Hari Ini Tambah Tambah 3.891, Jadi 236.519;9;0;Nasional
Dampak Mengerikan Pandemi Covid-19 Buat Industri Rokok;24;0;Nasional
Erick Thohir Sebut Soetta Jadi Bandara Teraman dari Covid-19;10;0;Ekonomi
Omzet Pedagang Anjlok hingga 90% Sejak Masker Scuba-Buff Dilarang di KRL;38;0;Ekonomi
Geisha Tegaskan Tidak Pernah Keluarkan Momo;17;0;Entertaintment
Aktor Senior Piet Pagau Sembuh dari Covid-19;10;0;Entertaintment
Sudah 117 Dokter Meninggal Akibat Corona, Terbanyak di Jatim-Sumut;15;0;Nasional
Jokowi: Kebebasan Berpendapat Sering Dibajak untuk Klaim Paling Benar;16;0;Nasional
ICW Minta KPK Dilibatkan Usut Kebakaran Gedung Kejagung;8;0;Nasional
Warga Dieng Pelihara Ikan di Air Hangat 40 Derajat;22;2;Jateng-DIY
Kantor Kelurahan Gilingan Solo Lockdown, Ada Pegawai Kena Corona;14;0;Jateng-DIY
Polisi Tangkap 2 ABG Pecandu Film Porno yang Nekat Cabuli Gadis di Bawah Umur;39;0;Jateng-DIY
Ini Pengakuan Pria Bermobil Curi Celdam di Minimarket Blora;144;55;Jateng-DIY
Rekrut Panwas dari Kader Parpol, Komisioner Bawaslu Sragen Dilaporkan;9;0;Jateng-DIY
Kisah Pembunuhan Sadis di Kalibata City oleh Dua Sejoli Laeli dan Fajri;87;0;Nasional
Rekonstruksi Kasus Mutilasi Kalibata City, Laeli Cari ?Mangsa? Via Tinder;1427;193;Nasional
Ini Lokasi Heli PT NUH Mendarat Darurat, di 4.700 Mdpl Paniai;17;0;Nasional
Staf Setwan dan Wartawan Di-Rapid Test;15;0;Jateng-DIY
Indonesia Apresiasi Keputusan BWF Tunda Piala Thomas & Uber 2020;9;0;sport
Kasus Positif Covid-19 di DIY Tembus 2.000;14;0;Jateng-DIY
BLT Rp 600 Ribu/Bulan untuk 1,8 Juta Juta Guru Honorer;14;0;Ekonomi
Sejak Era Soeharto Bambang Trihatmodjo Punya Utang Negara, Nilainya Rahasia;21;0;Ekonomi
PSBB Lagi, Pengusaha Hotel dan Restoran Kencangkan Ikat Pinggang;14;0;Ekonomi
Audi Marissa Tegaskan Tak Pernah Tidur Bareng Anthony Xie Sebelum Nikah;19;0;Entertaintment
Amar Zoni Ungkap Rasa Bahagia Istri Melahirkan dengan Selamat;16;0;Entertaintment
Meski Robert Pattinson Diisukan Positif Corona The Batman Syuting Lagi;15;0;Entertaintment
Maria Vania Ogah Buang Waktu untuk Pria Tak Pasti;15;0;Entertaintment
Ibunda Meninggal, Indra Bruggman: Terus Siapa yang Bangunin Shalat Subuh;19;0;Entertaintment
Penjelasan Mahfud Md Tanggapi Sindiran Presiden PKS soal Penegakan Hukum;14;0;Nasional
Via Vallen Dulu Rela Nebeng Truk Demi Uang Jajan Kini Pedangdut Top;17;0;Entertaintment
Urutan Perencanaan-Mutilasi Rinaldi oleh Sejoli, Ada 37 Adegan Rekonstruksi;43;2;Nasional
Tepergok Mesum di Kandang Ayam 3 ABG Digiring Warga;990;448;Jateng-DIY
Bangkai Hiu Paus yang Terdampar di Pantai Congot Rencana akan Dikubur;34;0;Jateng-DIY
Seorang Wanita Ngaku Dilecehkan dan Diperas Saat Rapid Test di Soetta, Polisi Selidiki;16;0;Nasional
Fajri Pelaku Mutilasi Pernah Diusir Ketua RT karena Bawa Laeli ke Rumah;792;211;Nasional
Kronologi 3 ABG Tepergok Nyaris Mesum di Kandang Ayam;351;21;Jateng-DIY
Kajari Jember Positif Corona;14;2;Nasional
Ini Lubang yang Disiapkan Sejoli untuk Mengubur Korban Mutilasi;30;0;Nasional
JK Minta KPU Tunda Pilkada 2020 Hingga Vaksin Corona Ditemukan;18;0;Nasional
Kontroversi Pemobil Sendirian Tak Bermasker Disanksi Bebersih Kali;17;0;Jateng-DIY
El Barack Ingin Adik, Jessica Iskandar Merinding;12;0;Entertaintment
Lihat Cewek Tak Bermasker Dihukum Squat Oknum Petugas, Rina Nose Emosi;17;0;Entertaintment
Nasihat Kak Seto untuk Orang Tua yang Temani Anak Belajar Daring;36;0;Entertaintment
Indra Bruggman Menyesal Belum Menikah Saat Ibunda Meninggal Dunia;17;0;Entertaintment
Keluarga di Tegal Tak Ketemu Laeli Pelaku Mutilasi 1,5 Tahun;458;192;Jateng-DIY
Kevin Aprilio Pernah Terlilit Utang Rp 17 Miliar;31;0;Entertaintment
PKS Nyatakan Abstain di Pilbup Boyolali;14;0;Jateng-DIY
Gatot Nurmantyo Bicara Sumpah Prajurit Saat Deklarasi KAMI se-Jateng;30;0;Jateng-DIY
2 Peserta Seleksi CPNS Kendal Kena Corona, Tes Akan Dijadwalkan Ulang;5;0;Jateng-DIY
Jenazah 5 ABK KM Stratindo Dimakamkan di Pekalongan;43;0;Jateng-DIY
Luhut Targetkan Omnibus Law Cipta Kerja Disahkan Bulan Ini;18;0;Nasional
PMI Terima 2.000 Kantung Darah dari Polda Metro dalam Rangka HUT Polantas;11;0;Nasional
Dewas KPK Syamsuddin Haris Positif Covid-19, Kini Dirawat di RS Pertamina;9;0;Nasional
Akibat Kena Corona Camat Kelapa Gading Jakut M Hermawan Meninggal;37;0;Nasional
Gali Lubang di Sel, WN China Napi Narkoba Kabur Lewat Samping Lapas;21;0;Nasional
Pernah Semobil Dengan Arief Budiman Ketua KPU Sulsel Dikabarkan Positif Corona;19;0;Nasional
Siapkan Anggaran Rp 27 T untuk Bebaskan Lahan untuk Tol di Jawa & Sumatera;16;0;Ekonomi
Bea Cukai Tangkap 2 Orang dan Rokok Ilegal Senilai Rp 1,4 M;19;0;Jateng-DIY
PSBB Diperketat Penjualan Emas Sepi;14;0;Nasional
PMI Akui Kekurangan Stok Darah Sejak 2 Bulan Lalu Imbas Corona;7;0;Nasional
Camat Kelapa Gading Meningal Kena Corona Dimakamkan di Pondok Ranggon;15;0;Nasional
Jualan Kaus Cegah Covid-19 Ganjar Ngaku Untung Rp 200 Juta;12;0;Jateng-DIY
Via Pesan Singkat Anies Ajak Shalat Gaib untuk Camat Kelapa Gading;24;0;Nasional
Rektor IPB Arif Satria Umumkan Dirinya Positif Covid-19;14;0;Nasional
Tiduran di Kursi, Nenek di Klaten Ternyata Sudah Meninggal Beberapa Hari;19;0;Nasional
Update Corona Indonesia 19 September: Rekor Kasus Baru 4.168, Positif 240.687;20;0;Nasional
Kena Corona Rektor IPB Arif Satria Jalani Isolasi Mandiri;18;2;Nasional
Seperti Korsel, Dian Sastro Ingin Industri Film Indonesia Diterima Secara Global;24;0;Nasional
JK: Daripada Kena Denda Rp 250 Ribu Lebih Baik Beli Masker Kain Rp 5.000;21;0;Nasional
Saat Digerebek, Sejoli Pelaku Mutilasi Sempat Panjat Atap Rumah;48;2;Nasional
Amir Machmud Terpilih Lagi Ketua PWI Jateng 2020-2025;149;2;Jateng-DIY
6 Ton Sampah Plastik Disulap Jadi Taman Cantik di Batang;62;2;Jateng-DIY
Jumlah Orang Berumur Panjang di Indonesia Paling Banyak di Yogyakarta;26;2;Jateng-DIY
Dikenal Pintar, Laeli Pelaku Mutilasi Masuk PTN dari Jalur Bidik Misi;961;148;Jateng-DIY
Rossi: Motor Honda Kompetitif Kok, Cuma Kesulitan Tanpa Marquez;15;2;sport
Hasil FP3 MotoGP Emilia Romagna: Bagnaia Jadi yang Tercepat;16;2;sport
Warga Purworejo Ditemukan Tewas dalam Sumur Setelah Hilang Sepekan;1657;382;Jateng-DIY
Ganjar Pranowo: Kondisi UKM Kita Mulai Terasa Bangkit;15;2;Jateng-DIY
Chelsea Vs Liverpool Diprediksi Hujan Gol Lagi;21;2;sport
Hasil Kualifikasi MotoGP Emilia Romagna: Vinales Rebut Pole Position;37;2;sport
Link Live Streaming MU vs Crystal Palace;4487;2;sport
Elvy Sukaesih Berjuang Melawan Covid-19;45;2;Entertaintment
MU Ditekuk Palace, Solskjaer Salahkan Pramusim yang Kurang Ideal;23;2;sport
Inilah Wajah Baru Istiqlal, Masjid Terbesar se Asia Tenggara;36;2;Nasional
Wanita Ngaku Dilecehkan saat Rapid Test di Soetta, Polisi Kumpulkan Bukti;26;2;Nasional
IDI: Dokter Diduga Lecehkan Wanita Saat Rapid Test Bukan Anggota Kami;35;2;Nasional
Simpan Sabu, Oknum Polisi di Sulsel Melawan dengan Badik Saat Ditangkap;20;2;Nasional
Juventus Vs Sampdoria: Pirlo Prediksikan Laga Sulit;16;0;sport
Habib Umar: Stop Hoaks dengan Kebaikan;131;2;Jateng-DIY
MotoGP Emilia Romagna: Valentino Rossi Crash!;22;2;sport
Hasil MotoGP Emilia Romagna 2020: Vinales Pemenangnya;13;0;sport
Link Live Streaming Chelsea Vs Liverpool;81;0;sport
Direnovasi Rp 465 Miliar, Begini Masjid Istiqlal Sekarang;20;2;Nasional
MAKI Telah Serahkan Bukti Istilah ?Bapak? dan ?King Maker? ke KPK;19;2;Nasional
Kebakaran di Pasar Wage Purwokerto, Pedagang Berhamburan;17;0;Jateng-DIY
Dilarang Terbang ke Pontianak Gegara Bawa Penumpang Corona Ini Respons Citilink;16;0;Nasional
Pabrik Printer Ditutup Gegara 352 Pegawainya Terinfeksi Corona;20;0;Nasional
Menteri Agama Fachrul Razi Positif Covid-19;7;0;Nasional
Laeli dan Fajri Sempat Tidur Bareng Jenazah Rinaldi;34;2;Nasional
Sandiaga Jadi Tim Pemenangan Bobby, PKS All Out Dukung Akhyar;13;0;Nasional
Kebakaran Pasar Wage Purwokerto Diduga Berawal dari Blok Pedagang Minyak;12;0;Nasional
Menag Fachrul Razi Isolasi Mandiri Setelah Diketahui Positif Corona;15;2;Nasional
Menag Fachrul Razi Jadi Menteri Ketiga yang Terpapar Corona;11;0;Nasional
Saat Dentuman Misterius Jakarta Terjadi Ada Aktivitas Petir Gunung Salak;19;0;Nasional
Ajukan Banding, PT Malah Menguatkan Vonis Mati Zuraida Pembunuh Hakim Jamaluddin;18;0;Nasional
Positif Corona, Tugas Menag Didelegasikan ke Zainut Tauhid;13;0;Nasional
Jenazah Rinaldi Korban Mutilasi di Kalibata City Dimakamkan;168;3;Jateng-DIY
Vonis 20 Tahun Jadi Mati Dijatuhkan kepada Duo Eksekutor Hakim Jamaluddin;22;2;Nasional
Doakan yang Terbaik, Bupati Sleman Hadir di Pemakaman Rinaldi Korban Mutilasi;163;32;Jateng-DIY
MA Didesak Bentuk Tim Internal Selidiki Oknum Lain di Kasus Nurhadi;16;0;Nasional
Berkas Kasus Red Notice Djoko Tjandra Kembali Diliimpahkan Polri ke Kejagung;18;2;Nasional
Muhammadiyah Desak KPU Tunda Pilkada;9;0;Nasional
Komisi VIII DPR Pertimbangkan Gelar Tes Swab setelah Menag Kena Corona;9;0;Nasional
Menag Fachrul Razi Terakhir Bertemu Jokowi 7 September, Swabnya Negatif;12;0;Nasional
100 Kios-Los Hangus Saat Kebakaran Pasar Wage Purwokerto;15;0;Nasional
Penanganan Covid Dinilai Belum Maksimal Muhammadiyah Minta Jokowi Evaluasi Menteri;16;2;Nasional
Viral Keributan Pemobil dengan Rombongan Ambulans Jenazah di Banyumas;24;0;Jateng-DIY
Karyawan dan 38 Nakes RS Soeradji Klaten Positif Corona;75;2;Jateng-DIY
Profil Menag Fachrul Razi yang Positif Corona;7;0;Nasional
Liputan 6 Resmi Laporkan Kasus Doxing Jurnalisnya ke Polda Metro;11;0;Nasional
Pria Paruh Baya di Klaten Tewas Ditabrak Lari Usai Antar Istri ke Pasar;14;3;Jateng-DIY
Paslon Langgar Protokol Corona, Ini Sanksinya;11;0;Nasional
Sudah Lama Tak Makan Dalih Sejoli Nekat Mutilasi Rinaldi;25;2;Nasional
Dokumen Rahasia Bocor! HSBC Diduga Bantu Penipuan Jutaan Dolar;16;2;Ekonomi
Dompet Digital Ramai-ramai Perketat dan Setop Paylater;23;2;Ekonomi
Atasi Macet di Jalur Puncak Menhub Gandeng ITB;16;2;Ekonomi
Merasa Ditipu, Ibunda Rachel Vennya Lapor Polisi;23;2;Entertaintment
Saka Praja, Anak Didi Kempot Rilis Lagu Tentang Kerinduan pada Ayah;16;2;Entertaintment
Banksy Kalah di Meja Hijau Gegara Kasus Dagang Karya Seninya;9;0;Entertaintment
Jadi Bintang Iklan Sabun, Asri Welas: Kakinya Aku Wajahnya Dian Sastro;22;2;Entertaintment
Gisel Curhat ke Wijin, Sedih Gempi Tonton YouTube Gading Marten;15;0;Entertaintment
Meggy Wulandari Sudah Nikah Lagi Usai Baru Cerai dari Kiwil;22;2;Entertaintment
Sempat Ingin Jadi Pilot, Saka Praja Ungkap Alasan Mantap Jadi Penerus Didi Kempot;10;2;Entertaintment
Gagal Nyalon, Aldi Taher Ngaku Keluar Banyak Modal;11;0;Entertaintment
Eiichiro Oda Bagikan Sketsa Awal saat Bikin Karakter Zoro;35;0;Entertaintment
Acha Septriasa Digaet Bintangi Film Internasional Berjudul Daemon Mind;35;2;Entertaintment
Sidang Perkara Jerinx Tetap Online, Pengajuan Ganti Majelis Hakim Ditolak;9;2;Entertaintment
Jumlah Akun Medsos Resmi Paslon Pilkada Dibatasi Maksimal 20;19;2;Nasional
Heboh Sumur Warga Keluarkan Bensin di Brebes;14;0;Jateng-DIY
Menag Fachrul Razi Positif Corona, Akses Masuk Kantor Kemenag Diperketat;13;0;Nasional
Positif Covid, Menteri Agama Fachrul Razi Jalani Isolasi di Rumah Sakit;11;0;Nasional
Kapolri Terbitkan Maklumat Kepatuhan Protokol Kesehatan Pilkada 2020;20;2;Nasional
Modus Gandakan Uang dengan Ritual Pria Ini Gasak Ratusan Juta di Sleman;79;7;Jateng-DIY
Kemenag Tracing Pejabat-Staf yang Kontak Langsung dengan Fachrul Razi;13;2;Nasional
Video Viral Angkringan Kopi Jos Yogya Ramai Tanpa Protokol Kesehatan Jadi Sorotan;13;2;Jateng-DIY
Mantan Walkot Herry Zudianto dan 2 Pengurus PWM DIY Kena Corona;13;0;Jateng-DIY
Video Kerumunan di Kopi Jos Yogya Viral, Satpol PP Ancam akan Tutup;20;2;Jateng-DIY
Karyawan ? 38 Nakes Kena Corona, RS Soeradji Klaten Jadi Klaster Perkantoran;35;3;Jateng-DIY
Pemda DIY Ancam Tutup Usaha yang Layani Pembeli Abai Protokol Kesehatan;74;5;Jateng-DIY
Jenazah di Cilacap Ini Ternyata Positif Corona Sebelumnya Sempat Dimandikan Warga;18;2;Jateng-DIY
Terungkap, Rossi Jatuh Karena Nggak Sengaja Tekan Tuas Rem;22;2;sport
Surat Penundaan Pilkada 2020 Beredar, Komisi II: Masih Tetap 9 Desember;13;2;Nasional
Atap Plafon Gedung Merah Putih KPK Jebol saat Hujan Deras;14;0;Nasional
Nenek Suratmi Hilang di Perbukitan Jepara Sejak Sabtu;16;0;Jateng-DIY
Newgraha Sang Juara, Siap Go Public di Tengah Krisis;116;5;Ekonomi
Cek Hp Sekarang! Bantuan Kuota Internet Gratis Pemerintah Disalurkan Hari ini;101;2;Nasional
BMKG Imbau Masyarakat Waspada Cuaca Ekstrem Sepekan ke Depan;8;0;Nasional
12 Anggota Polres Pekalongan Positif Covid-19;26;2;Jateng-DIY
Gibran Tak Masalah Pilkada Diundur, Bajo Ngaku Berat di Ongkos;10;0;Jateng-DIY
Gegara Layangan, Sejumlah Jaringan Listrik Rembang Kerap Terganggu;10;0;Jateng-DIY
Karyawan BPR BKK Banjarnegara Diduga Korupsi Dana Nasabah Rp 1 M;76;2;Jateng-DIY
Keributan Rombongan Ambulans-Pemobil Banyumas karena Salah Paham;15;2;Jateng-DIY
Gudang Pakan Ternak di Salatiga Hangus Terbakar;8;0;Jateng-DIY
Pria Jepara Ini Ditemukan Tak Bernyawa di Rumahnya;12;0;Jateng-DIY
Positif Covid-19, Dokter Ahli Radiologi di RS Orthopedi Solo Meninggal Dunia;13;0;Jateng-DIY
Warga Wonogiri Rasakan Getaran Gempa Pacitan;18;0;Jateng-DIY
Hujan Guyur Jakarta Semalaman, Pagi Ini 49 RT dan 23 Jalan Terendam Banjir;7;0;Nasional
DPRD Minta Pemprov DKI Segera Atasi Banjir di Tengah Pandemi;11;0;Nasional
Banjir Kembali Landa DKI, Hari Ini 104 Jiwa Mengungsi;11;0;Nasional
Bahas Pilkada 2020, Menko Polhukam-Mendagri Undang Sekjen Parpol;19;2;Nasional
Sesuai UU PilkadaBisa Ditunda Jika Corona Belum Berakhir;10;0;Nasional
Sumber Suara Dentuman di Jakarta Ternyata dari TNT di Acara Paskhas;13;0;Nasional
RSU Soetomo Kembali Berduka, Seorang Perawat Meninggal Kena Corona;13;0;Nasional
Brigjen Setyo hingga 5 Korwil dari Polri Resmi Dilantik Jadi Dirdik KPK;11;0;Nasional
Anggota Ombudsman Kritik Kemendikbud karena Dikirimi Paket Kuota Internet;12;0;Nasional
Begini Penampakan Arca Ganesha di Perempatan Kampung di Klaten;72;8;Jateng-DIY
